partyfacts_id,field,link,page
4150,position,Centre-left,Centre-left politics
6112,ideology,Conservative liberalism,Conservative liberalism
6112,ideology,Economic liberalism,Economic liberalism
6112,position,Centre-right politics,Centre-right politics
1215,ideology,Liberalism,Liberalism
1215,ideology,Civic humanism,Classical republicanism
1215,ideology,Anti-corruption,Anti-corruption
1215,ideology,Developmentalism,Developmentalism
1215,ideology,Social liberalism,Social liberalism
1215,ideology,Conservatism,Conservatism
1215,position,Centrism,Centrism
1215,position,Center-right,Centre-right politics
1215,position,center-left,Centre-left politics
6116,ideology,Neoliberalism,Neoliberalism
6116,ideology,Conservatism,Conservatism
6116,ideology,Radical politics,Radical politics
6116,ideology,Republicanism,Republicanism
6116,ideology,Progressivism,Progressivism
6116,position,Centre-right,Centre-right politics
6116,position,right-wing,Right-wing politics
6116,position,Centrism,Centrism
6116,position,center-left,Centre-left politics
7049,ideology,Liberalism,Liberalism
7049,ideology,center-right,Centre-right politics
7049,ideology,liberalism,Liberalism
7049,ideology,El País,El País
7049,ideology,The Economist,The Economist
7049,ideology,Financial Times,Financial Times
7049,ideology,El Español,El Español
7049,ideology,La Nación,La Nación
7049,ideology,Liberal conservatism,Liberal conservatism
7049,ideology,BBC,BBC
7049,ideology,The Wall Street Journal,The Wall Street Journal
7049,ideology,The Guardian,The Guardian
7049,ideology,El Mundo (Spain),El Mundo (Spain)
7049,ideology,Business Insider,Business Insider
7049,ideology,Social liberalism,Social liberalism
7049,ideology,Conservative liberalism,Conservative liberalism
7049,ideology,Deutsche Welle,Deutsche Welle
7049,position,Centre politics,Centrism
7049,position,Centre-right politics,Centre-right politics
6159,ideology,Liberalism,Liberalism
6159,ideology,Civic humanism,Classical republicanism
6159,ideology,Anti-corruption,Anti-corruption
6159,ideology,Developmentalism,Developmentalism
6159,ideology,Social liberalism,Social liberalism
6159,ideology,Conservatism,Conservatism
6159,position,Centrism,Centrism
6159,position,Center-right,Centre-right politics
6159,position,center-left,Centre-left politics
2529,ideology,Conservatism,Conservatism
2529,position,Centre-right,Centre-right politics
5088,ideology,Conservatism,Conservatism
5088,ideology,Classical radicalism,Classical radicalism
5088,ideology,Hipólito Yrigoyen,Hipólito Yrigoyen
5088,position,Centre-right politics,Centre-right politics
5088,position,Right-wing politics,Right-wing politics
8672,ideology,Kirchnerism,Kirchnerism
8672,ideology,Peronism,Peronism
8672,position,Centre-left politics,Centre-left politics
5188,ideology,Christian democracy,Christian democracy
5188,ideology,Social conservatism,Social conservatism
5188,position,Centrism,Centrism
7747,ideology,Federal Peronism,Federal Peronism
7747,position,Centre-right politics,Centre-right politics
6161,ideology,Progressivism,Progressivism
6161,ideology,Social democracy,Social democracy
6161,ideology,Democratic socialism,Democratic socialism
6161,ideology,Parliamentary democracy,Parliamentary system
6161,ideology,Socialism of the 21st century,Socialism of the 21st century
6161,ideology,Left-wing nationalism,Left-wing nationalism
6161,position,centre-left politics,Centre-left politics
7975,ideology,Peronism,Peronism
7975,ideology,Kirchnerism,Kirchnerism
7975,ideology,Radicalism (historical),Classical radicalism
7975,ideology,Social democracy,Social democracy
7975,position,Centre-left,Centre-left politics
6649,ideology,Marxism,Marxism
6649,ideology,Trotskyism,Trotskyism
6649,ideology,Revolutionary socialism,Revolutionary socialism
6649,position,Far-left politics,Far-left politics
7743,ideology,Peronism,Peronism
7743,ideology,Progressivism,Progressivism
7743,ideology,Social democracy,Social democracy
7743,ideology,Kirchnerism,Kirchnerism
7743,position,Centre-left politics,Centre-left politics
8059,ideology,Peronism,Peronism
8059,ideology,Catch-all politics,Big tent
8059,position,Centre-left politics,Centre-left politics
2530,ideology,Peronism,Peronism
2530,ideology,San Francisco Chronicle,San Francisco Chronicle
2530,ideology,El País,El País
2530,ideology,El País (Spain),El País
2530,ideology,The Guardian,The Guardian
2530,ideology,Left-wing nationalism,Left-wing nationalism
2530,ideology,Social democracy,Social democracy
2530,ideology,Kirchnerism,Kirchnerism
2530,ideology,Left-wing populism,Left-wing populism
2530,ideology,The Economist,The Economist
2530,position,Centre-left politics,Centre-left politics
2530,position,Al Jazeera English,Al Jazeera English
2530,position,Daily Express,Daily Express
2530,position,Centrism,Centrism
2530,position,Left-wing politics,Left-wing politics
2530,position,The Guardian,The Guardian
2530,position,BBC Online,BBC Online
5553,ideology,Social democracy,Social democracy
5553,ideology,Christian democracy,Christian democracy
5553,ideology,Syncretism,Syncretism
5553,ideology,Humanism,Humanism
5553,ideology,Democratic socialism,Democratic socialism
5553,ideology,Communism,Communism
5553,position,Center-left,Centre-left politics
6554,position,Centre-left,Centre-left politics
6554,ideology,Progressivism,Progressivism
6554,ideology,Social democracy,Social democracy
6554,ideology,Democratic socialism,Democratic socialism
6160,position,Centre-left,Centre-left politics
6160,ideology,Peronism,Peronism
6160,ideology,La Nación,La Nación
6160,ideology,Federal Peronism,Federal Peronism
6160,ideology,Syncretic politics,Political syncretism
8735,ideology,Peronism,Peronism
8735,ideology,Regionalism (politics),Regionalism (politics)
8735,position,Big tent,Big tent
5122,ideology,Developmentalism,Developmentalism
5122,ideology,Orthodox Peronism,Orthodox Peronism
5122,position,Far-right,Far-right politics
868,ideology,Peronism,Peronism
868,ideology,Regionalism (politics),Regionalism (politics)
868,ideology,Third Way,Third Way
868,ideology,Federal Peronism,Federal Peronism
868,position,Centre-right,Centre-right politics
4181,ideology,Conservatism,Conservatism
4181,ideology,Argentine nationalism,Argentine nationalism
4181,ideology,Militarism,Militarism
4181,ideology,Orthodox Peronism,Orthodox Peronism
4181,position,Far-right,Far-right politics
1210,ideology,Trotskyism,Trotskyism
1210,ideology,Nahuel Moreno,Nahuel Moreno
1210,position,Far-left politics,Far-left politics
5192,ideology,Liberalism,Liberalism
5192,ideology,Conservatism,Conservatism
5192,ideology,Conservative liberalism,Conservative liberalism
5192,ideology,Secularism,Secularism
5192,ideology,Positivism,Positivism
5192,position,Centre-right,Centre-right politics
5192,position,right-wing,Right-wing politics
5121,ideology,Trotskyism,Trotskyism
5121,position,Far-left politics,Far-left politics
832,ideology,Communism,Communism
832,ideology,Marxism–Leninism,Marxism–Leninism
832,position,Far-left,Far-left politics
7745,ideology,Communism,Communism
7745,ideology,Marxism–Leninism,Marxism–Leninism
7745,ideology,Kirchnerism,Kirchnerism
7745,position,Far-left,Far-left politics
8865,ideology,Social democracy,Social democracy
8865,ideology,Kirchnerism,Kirchnerism
8865,position,Centre-left politics,Centre-left politics
5187,ideology,Conservatism,Conservatism
5187,position,Right-wing,Right-wing politics
5085,ideology,National conservatism,National conservatism
5085,ideology,Conservative liberalism,Conservative liberalism
5085,position,Right-wing politics,Right-wing politics
5112,ideology,Liberalism,Liberalism
5112,position,Center-right,Centre-right politics
5112,position,Right-wing politics,Right-wing politics
6040,ideology,Federalism,Federalism
6040,ideology,Federal Peronism,Federal Peronism
6040,position,Centre-right,Centre-right politics
4180,ideology,Humanist Movement,Humanist Movement
4180,position,Left-wing politics,Left-wing politics
4183,ideology,Democratic socialism,Democratic socialism
4183,ideology,Progressivism,Progressivism
4183,position,Left-wing,Left-wing politics
623,ideology,Peronism,Peronism
623,ideology,Catch-all politics,Big tent
623,position,Centre-left politics,Centre-left politics
5193,ideology,Peronism,Peronism
5193,ideology,Socialism,Socialism
5193,ideology,Syndicalism,Syndicalism
5193,ideology,Left-wing populism,Left-wing populism
5193,ideology,Left-wing nationalism,Left-wing nationalism
5193,position,Left-wing politics,Left-wing politics
5186,ideology,Liberalism,Liberalism
5186,ideology,Regionalism (politics),Regionalism (politics)
5186,position,Centrism,Centrism
8082,ideology,Trotskyism,Trotskyism
8082,position,Far-left politics,Far-left politics
1365,ideology,Social democracy,Social democracy
1365,ideology,Democratic socialism,Democratic socialism
1365,ideology,Reformism,Reformism
1365,ideology,Progressivism,Progressivism
1365,ideology,Marxism,Marxism
1365,position,Centre-left politics,Centre-left politics
1365,position,Left-wing politics,Left-wing politics
6426,ideology,Socialism,Socialism
6426,ideology,de jure,De jure
6426,ideology,Conservatism,Conservatism
6426,ideology,Economic liberalism,Economic liberalism
6426,position,Centre-right,Centre-right politics
6648,ideology,Peronism,Peronism
6648,ideology,La Nación,La Nación
6648,ideology,Kirchnerism,Kirchnerism
6648,ideology,Conservatism,Conservatism
6648,ideology,Social justice,Social justice
6648,ideology,Menemism,Menemism
6648,ideology,Orthodox Peronism,Orthodox Peronism
6648,ideology,Eduardo Duhalde,Eduardo Duhalde
6648,position,Centrism,Centrism
6648,position,La Voz del Interior,La Voz del Interior
6648,position,Centre-right politics,Centre-right politics
1790,ideology,Conservative liberalism,Conservative liberalism
1790,ideology,Liberal conservatism,Liberal conservatism
1790,position,Centre-right politics,Centre-right politics
1790,position,Right-wing politics,Right-wing politics
8083,ideology,Progressivism,Progressivism
8083,position,Centre-left,Centre-left politics
1116,ideology,Conservative liberalism,Conservative liberalism
1116,position,Center-right,Centre-right politics
5194,ideology,Social democracy,Social democracy
5194,ideology,Peronism,Peronism
5194,ideology,Progressivism,Progressivism
5194,position,Centrism,Centrism
5194,position,Centre-left politics,Centre-left politics
7664,ideology,Peronism,Peronism
7664,ideology,Social democracy,Social democracy
7664,ideology,Kirchnerism,Kirchnerism
7664,position,Centre-left politics,Centre-left politics
7664,position,Left-wing politics,Left-wing politics
7188,ideology,Liberalism,Liberalism
7188,position,Centre-left politics,Centre-left politics
1724,ideology,Classical radicalism,Classical radicalism
1724,ideology,Social liberalism,Social liberalism
1724,ideology,Liberalism,Liberalism
1724,ideology,Conservative liberalism,Conservative liberalism
1724,ideology,Social democracy,Social democracy
1724,position,Centre politics,Centrism
5087,ideology,Radicalism (historical),Classical radicalism
5087,ideology,Progressivism,Progressivism
5087,ideology,Social democracy,Social democracy
5087,ideology,Developmentalism,Developmentalism
5087,position,Centre-left politics,Centre-left politics
4182,ideology,Conservatism,Conservatism
4182,ideology,Economic liberalism,Economic liberalism
4182,position,Centre-right politics,Centre-right politics
4182,position,Right-wing politics,Right-wing politics
5086,ideology,Federal Peronism,Federal Peronism
5086,ideology,Conservatism,Conservatism
5086,ideology,Catholic social teaching,Catholic social teaching
5086,position,Centre-right politics,Centre-right politics
8736,ideology,Peronism,Peronism
8736,position,Centrism,Centrism
2008,ideology,Big tent,Big tent
2008,position,Big tent,Big tent
2008,position,Left-wing,Left-wing politics
2008,position,right-wing,Right-wing politics
2010,ideology,Liberalism,Liberalism
2010,ideology,Pro-Europeanism,Pro-Europeanism
2010,ideology,Pro-Western,Western world
2011,ideology,Conservatism,Conservatism
2011,ideology,Russophilia,Russophilia
2011,ideology,Commonwealth of Independent States,Commonwealth of Independent States
2009,ideology,Liberalism,Liberalism
2009,position,Centrism,Centrism
4205,ideology,Social conservatism,Social conservatism
4205,ideology,Economic liberalism,Economic liberalism
4205,ideology,Russophilia,Russophilia
4205,ideology,Euroscepticism,Euroscepticism
4205,position,Centre-right politics,Centre-right politics
7507,ideology,Classical liberalism,Classical liberalism
7507,ideology,Pro-Europeanism,Pro-Europeanism
7507,position,Centrism,Centrism
8012,ideology,Communism,Communism
8012,ideology,Marxism–Leninism,Marxism–Leninism
8012,position,Far-left,Far-left politics
2012,ideology,Conservative liberalism,Conservative liberalism
2012,ideology,Pro-Europeanism,Pro-Europeanism
2012,position,Centrism,Centrism
2012,position,Centre-right politics,Centre-right politics
2013,ideology,National conservatism,National conservatism
2013,ideology,Tseghakronism,Tseghakronism
2013,ideology,Russophilia,Russophilia
2013,ideology,Big tent,Big tent
2013,position,Right-wing politics,Right-wing politics
2018,ideology,Communism,Communism
2018,ideology,Marxism–Leninism,Marxism–Leninism
2018,ideology,Russophilia,Russophilia
2018,ideology,Euroscepticism,Euroscepticism
2018,ideology,Soviet patriotism,Soviet patriotism
2018,position,Left-wing politics,Left-wing politics
2018,position,far-left,Far-left politics
4539,ideology,Social liberalism,Social liberalism
4539,ideology,Pro-Europeanism,Pro-Europeanism
4539,position,Centrism,Centrism
2020,ideology,Armenian nationalism,Armenian nationalism
2020,ideology,Radio Free Europe/Radio Liberty,Radio Free Europe/Radio Liberty
2020,ideology,Open Society Institute,Open Society Foundations
2020,ideology,United Armenia,United Armenia
2020,ideology,International Crisis Group,International Crisis Group
2020,ideology,Social market economy,Social market economy
2020,ideology,Armenpress,Armenpress
2020,ideology,Yerkir,Yerkir
2020,ideology,Populism,Populism
2020,ideology,Russophilia,Russophilia
2020,ideology,RFE/RL,Radio Free Europe/Radio Liberty
2020,ideology,Azg (daily),Azg (daily)
2020,ideology,Transitions Online,Transitions Online
2020,ideology,Democratic socialism,Democratic socialism
2020,ideology,Council of Europe,Council of Europe
2020,ideology,Revolutionary socialism,Revolutionary socialism
2020,ideology,Anti-Sovietism,Anti-Sovietism
2020,position,Centre-left politics,Centre-left politics
2020,position,Left-wing politics,Left-wing politics
4365,ideology,Liberal democracy,Liberal democracy
4365,ideology,Liberal nationalism,Civic nationalism
4365,ideology,Anti-communism,Anti-communism
4365,position,Centrism,Centrism
4365,position,center-right,Centre-right politics
3783,ideology,National&nbsp;liberalism,National liberalism
3783,ideology,Liberalism,Liberalism
3783,ideology,Armenian nationalism,Armenian nationalism
3783,ideology,Pro-Europeanism,Pro-Europeanism
3783,ideology,Pro-Western,Western world
3783,position,Centrism,Centrism
3783,position,centre-right,Centre-right politics
7508,ideology,Liberal democracy,Liberal democracy
7508,ideology,Neoliberalism,Neoliberalism
7508,ideology,Reformism,Reformism
7508,position,Centrism,Centrism
7754,ideology,Liberalism,Liberalism
7754,ideology,Reformism,Reformism
7754,ideology,Populism,Populism
7754,ideology,Pro-Europeanism,Pro-Europeanism
7754,position,Centrism,Centrism
2016,ideology,Social democracy,Social democracy
2016,ideology,Pro-Europeanism,Pro-Europeanism
2016,position,Centre-left,Centre-left politics
7800,ideology,Liberalism,Liberalism
7800,position,Centrism,Centrism
2007,ideology,Liberal conservatism,Liberal conservatism
2007,ideology,Christian democracy,Christian democracy
2007,ideology,Pro-Europeanism,Pro-Europeanism
2007,position,Centre-right,Centre-right politics
8804,ideology,Liberalism,Liberalism
8367,ideology,Pro-Europeanism,Pro-Europeanism
8367,ideology,NATO,NATO
5516,ideology,Aruba,Aruba
5516,ideology,Regionalism (politics),Regionalism (politics)
5516,ideology,Conservatism,Conservatism
