partyfacts_id,field,value,value_clean
2297,ideology,"{{ubl|class|=|nowrap|
 |[[Social democracy]]|ref| name=""Nordsieck""|{{cite web|url=http://www.parties-and-elections.eu/albania.html|title=Albania|first=Wolfram|last=Nordsieck|website=Parties and Elections in Europe|date=2017}}|</ref>|
 |[[Pro-Europeanism]]|ref| name=aeob13|{{cite journal|title=The Albanian Electoral Systems since 1990|journal=Albanian Elections Observatory Brief|date=19 April 2013|issue=1|url=http://www.eliamep.gr/wp-content/uploads/2013/04/bn1.pdf|access-date=2 July 2013}}|</ref>|ref|https://www.csis.org/programs/european-election-watch/albania|</ref>}}","{{ubl|class|=|nowrap|
 |[[Social democracy]]|ref| name=""Nordsieck""|{{cite web|url=http://www.parties-and-elections.eu/albania.html|title=Albania|first=Wolfram|last=Nordsieck|website=Parties and Elections in Europe|date=2017}}|</ref>|
 |[[Pro-Europeanism]]|ref| name=aeob13|{{cite journal|title=The Albanian Electoral Systems since 1990|journal=Albanian Elections Observatory Brief|date=19 April 2013|issue=1|url=http://www.eliamep.gr/wp-content/uploads/2013/04/bn1.pdf|access-date=2 July 2013}}|</ref>|ref|https://www.csis.org/programs/european-election-watch/albania|</ref>}}"
2297,position,[[Centre-left]],[[Centre-left]]
8491,ideology,[[Social liberalism]]<br />[[Civic nationalism]]<br />[[Pro-Europeanism]],[[Social liberalism]]<br />[[Civic nationalism]]<br />[[Pro-Europeanism]]
8491,position,[[Centrism|Centre]] to [[Centre-left politics|centre-left]],[[Centrism|Centre]] to [[Centre-left politics|centre-left]]
840,ideology,[[Agrarianism]],[[Agrarianism]]
840,position,[[Centrism|Centre]],[[Centrism|Centre]]
594,ideology,[[Liberalism]],[[Liberalism]]
594,position,[[Centrism|Centre]],[[Centrism|Centre]]
674,ideology,"{{ubl|class|=|nowrap|
 |[[Albanian nationalism]]
 |[[Social conservatism]]
 |[[National conservatism]]
 |[[Greater Albania|Albanian irredentism]]
 |[[Right-wing populism]]
 |[[Anti-communism]]}}","{{ubl|class|=|nowrap|
 |[[Albanian nationalism]]
 |[[Social conservatism]]
 |[[National conservatism]]
 |[[Greater Albania|Albanian irredentism]]
 |[[Right-wing populism]]
 |[[Anti-communism]]}}"
674,position,[[Far-right politics|Far-right]],[[Far-right politics|Far-right]]
1636,ideology,"{{ubl|class|=|nowrap|
 |[[Greeks in Albania|Greek]] [[Political parties of minorities|minority interests]]|ref| name=""Nordsieck""|{{cite web|url=http://parties-and-elections.eu/albania.html|title=Albania|last=Nordsieck|first=Wolfram|date=2017|website=Parties and Elections in Europe}}|</ref>|
 |[[Social liberalism]]|ref| name=aeob13|{{cite journal|title=The Albanian Electoral Systems since 1990|journal=Albanian Elections Observatory Brief|date=19 April 2013|issue=1|url=http://www.eliamep.gr/wp-content/uploads/2013/04/bn1.pdf|access-date=2 July 2013}}|</ref>|
 |[[Civic nationalism]]|ref| name=aeob13|
 |[[Pro-Europeanism]]}}","{{ubl|class|=|nowrap|
 |[[Greeks in Albania|Greek]] [[Political parties of minorities|minority interests]]|ref| name=""Nordsieck""|{{cite web|url=http://parties-and-elections.eu/albania.html|title=Albania|last=Nordsieck|first=Wolfram|date=2017|website=Parties and Elections in Europe}}|</ref>|
 |[[Social liberalism]]|ref| name=aeob13|{{cite journal|title=The Albanian Electoral Systems since 1990|journal=Albanian Elections Observatory Brief|date=19 April 2013|issue=1|url=http://www.eliamep.gr/wp-content/uploads/2013/04/bn1.pdf|access-date=2 July 2013}}|</ref>|
 |[[Civic nationalism]]|ref| name=aeob13|
 |[[Pro-Europeanism]]}}"
1636,position,[[Centrism|Centre]],[[Centrism|Centre]]
1558,ideology,[[Conservatism]]<br>[[Liberal conservatism]],[[Conservatism]]<br>[[Liberal conservatism]]
1558,position,[[Centre-right]],[[Centre-right]]
190,position,[[Centre-right]],[[Centre-right]]
190,ideology,"{{ubl|class|=|nowrap|
 |[[Conservatism in Albania|Conservatism]]|ref| name=""Nordsieck""|{{cite web|url=http://www.parties-and-elections.eu/albania.html|title=Albania|first=Wolfram|last=Nordsieck|website=Parties and Elections in Europe|date=2017}}|</ref>|ref| name=""Slomp2011""|{{cite book|url=https://books.google.com/books?id=LmfAPmwE6YYC&pg=PA605|page=605|title=Europe, A Political Profile: An American Companion to European Politics|first=Hans|last=Slomp|isbn=978-0-313-39182-8|date=26 September 2011|publisher=ABC-CLIO}}|</ref>|ref| name=""Lewis2000""|
 |[[Liberal conservatism]]|ref| name=aeob13|{{cite journal|title=The Albanian Electoral Systems since 1990|journal=Albanian Elections Observatory Brief|date=19 April 2013|issue=1|publisher=Hellenic Foundation for European & Foreign Policy|url=http://www.eliamep.gr/wp-content/uploads/2013/04/bn1.pdf|access-date=2 July 2013}}|</ref>|
 |[[Pro-Europeanism]]|ref| name=aeob13}}","{{ubl|class|=|nowrap|
 |[[Conservatism in Albania|Conservatism]]|ref| name=""Nordsieck""|{{cite web|url=http://www.parties-and-elections.eu/albania.html|title=Albania|first=Wolfram|last=Nordsieck|website=Parties and Elections in Europe|date=2017}}|</ref>|ref| name=""Slomp2011""|{{cite book|url=https://books.google.com/books?id=LmfAPmwE6YYC&pg=PA605|page=605|title=Europe, A Political Profile: An American Companion to European Politics|first=Hans|last=Slomp|isbn=978-0-313-39182-8|date=26 September 2011|publisher=ABC-CLIO}}|</ref>|ref| name=""Lewis2000""|
 |[[Liberal conservatism]]|ref| name=aeob13|{{cite journal|title=The Albanian Electoral Systems since 1990|journal=Albanian Elections Observatory Brief|date=19 April 2013|issue=1|publisher=Hellenic Foundation for European & Foreign Policy|url=http://www.eliamep.gr/wp-content/uploads/2013/04/bn1.pdf|access-date=2 July 2013}}|</ref>|
 |[[Pro-Europeanism]]|ref| name=aeob13}}"
7013,ideology,"{{ubl|class|=|nowrap|
 |[[Christian democracy]]
 |[[Christianity in Albania|Christian people's interests]]}}","{{ubl|class|=|nowrap|
 |[[Christian democracy]]
 |[[Christianity in Albania|Christian people's interests]]}}"
7013,position,[[Centre-right]],[[Centre-right]]
3270,ideology,"{{ubl|class|=|nowrap|
 |[[Albanian nationalism]]
 |[[Social conservatism]]
 |[[Cham issue]]|ref| name=""Nordsieck""|{{cite web|url=http://parties-and-elections.eu/albania.html|title=Albania|last=Nordsieck|first=Wolfram|website=Parties and Elections in Europe|date=2017}}|</ref>}}","{{ubl|class|=|nowrap|
 |[[Albanian nationalism]]
 |[[Social conservatism]]
 |[[Cham issue]]|ref| name=""Nordsieck""|{{cite web|url=http://parties-and-elections.eu/albania.html|title=Albania|last=Nordsieck|first=Wolfram|website=Parties and Elections in Europe|date=2017}}|</ref>}}"
3270,position,[[Right-wing politics|Right-wing]],[[Right-wing politics|Right-wing]]
4711,ideology,"{{ubl|class|=|nowrap
 | [[Communism]]
 | [[Marxism–Leninism]]
 | [[Stalinism]] 
 | [[Hoxhaism]]
 | [[Anti-revisionism]]}}","{{ubl|class|=|nowrap
 | [[Communism]]
 | [[Marxism–Leninism]]
 | [[Stalinism]] 
 | [[Hoxhaism]]
 | [[Anti-revisionism]]}}"
4711,position,[[Far-left politics|Far-left]],[[Far-left politics|Far-left]]
8378,ideology,{{nowrap|[[Fascism]]<br>[[Albanian nationalism]]<br>[[Greater Albania|Albanian irredentism]]<br>[[Italophilia]]<br>[[Anti-Serb sentiment]]<br>[[Anti-Greek sentiment]]}},{{nowrap|[[Fascism]]<br>[[Albanian nationalism]]<br>[[Greater Albania|Albanian irredentism]]<br>[[Italophilia]]<br>[[Anti-Serb sentiment]]<br>[[Anti-Greek sentiment]]}}
8378,position,[[Far-right]],[[Far-right]]
4715,ideology,"{{ubl|class|=|nowrap|
 |[[Christian democracy]]
 |[[Conservatism in Albania|Conservatism]]|ref|{{cite web|url=http://parties-and-elections.eu/albania.html|title=Albania|last=Nordsieck|first=Wolfram|date=2017|website=Parties and Elections in Europe}}|</ref>}}","{{ubl|class|=|nowrap|
 |[[Christian democracy]]
 |[[Conservatism in Albania|Conservatism]]|ref|{{cite web|url=http://parties-and-elections.eu/albania.html|title=Albania|last=Nordsieck|first=Wolfram|date=2017|website=Parties and Elections in Europe}}|</ref>}}"
732,ideology,"{{ubl|class|=|nowrap|
 |[[Social conservatism]]
 |[[Monarchism]]}}","{{ubl|class|=|nowrap|
 |[[Social conservatism]]
 |[[Monarchism]]}}"
732,position,[[Right-wing]],[[Right-wing]]
819,ideology,"{{ubl|class|=|nowrap|
 |[[National conservatism]]|ref| name=""Nordsieck""|{{cite web|url=http://www.parties-and-elections.eu/albania.html|website=Parties and Elections in Europe|first=Wolfram|last=Nordsieck|title=Albania|date=2017}}|</ref>|
 |[[Social conservatism]]
 |[[Economic liberalism]]
 |[[Atlanticism]]
 |[[Pro-Europeanism]]}}","{{ubl|class|=|nowrap|
 |[[National conservatism]]|ref| name=""Nordsieck""|{{cite web|url=http://www.parties-and-elections.eu/albania.html|website=Parties and Elections in Europe|first=Wolfram|last=Nordsieck|title=Albania|date=2017}}|</ref>|
 |[[Social conservatism]]
 |[[Economic liberalism]]
 |[[Atlanticism]]
 |[[Pro-Europeanism]]}}"
819,position,[[Right-wing politics|Right-wing]],[[Right-wing politics|Right-wing]]
838,ideology,"{{nowrap|[[Social democracy]]|ref| name=""Nordsieck""|{{cite web|url=http://parties-and-elections.eu/albania.html|title=Albania|last=Nordsieck|first=Wolfram|date=2017|website=Parties and Elections in Europe}}|</ref>|ref| name=Lewis2000}} <br>[[Pro-Europeanism]]","{{nowrap|[[Social democracy]]|ref| name=""Nordsieck""|{{cite web|url=http://parties-and-elections.eu/albania.html|title=Albania|last=Nordsieck|first=Wolfram|date=2017|website=Parties and Elections in Europe}}|</ref>|ref| name=Lewis2000}} <br>[[Pro-Europeanism]]"
838,position,[[Centre-left]],[[Centre-left]]
1729,ideology,[[Social democracy]],[[Social democracy]]
1729,position,[[Centre-left]],[[Centre-left]]
8564,ideology,{{unbulletedlist|[[Islamism]]|[[Islamic democracy]]}},{{unbulletedlist|[[Islamism]]|[[Islamic democracy]]}}
8564,position,[[Right-wing]],[[Right-wing]]
4111,ideology,{{unbulletedlist|[[Arab nationalism]]|[[Algerian nationalism]]|[[Pan-Arabism]]|[[Anti-imperialism]]|[[Arab socialism]]}},{{unbulletedlist|[[Arab nationalism]]|[[Algerian nationalism]]|[[Pan-Arabism]]|[[Anti-imperialism]]|[[Arab socialism]]}}
4111,position,{{unbulletedlist|[[Left-wing]] (''de jure'')|[[Big tent]]|ref|{{cite interview |last=Serres |first=Thomas |title=Quick Thoughts: Thomas Serres on the Algerian Succession |url=https://www.jadaliyya.com/Details/33754 |publisher=Arab Studies Institute |website=Jadaliyya |date=16 November 2016 |access-date=20 August 2020}}|</ref>| (''de facto'')}} (''de facto''),{{unbulletedlist|[[Left-wing]] (''de jure'')|[[Big tent]]|ref|{{cite interview |last=Serres |first=Thomas |title=Quick Thoughts: Thomas Serres on the Algerian Succession |url=https://www.jadaliyya.com/Details/33754 |publisher=Arab Studies Institute |website=Jadaliyya |date=16 November 2016 |access-date=20 August 2020}}|</ref>| (''de facto'')}} (''de facto'')
4114,ideology,{{unbulletedlist|[[Social democracy]]|[[Algerianism]]|[[Berberism]]|[[Secularism]]}},{{unbulletedlist|[[Social democracy]]|[[Algerianism]]|[[Berberism]]|[[Secularism]]}}
4114,position,[[Centre-left]],[[Centre-left]]
6118,ideology,[[Islamism]]<br/>[[Islamic fundamentalism]]<br/>[[Jihadism]]<br/>[[Pan-Islamism]]<br/>[[Anti-communism]]<br/>'''Factions''':<br/>[[Criticism of democracy|Anti-democracy]],[[Islamism]]<br/>[[Islamic fundamentalism]]<br/>[[Jihadism]]<br/>[[Pan-Islamism]]<br/>[[Anti-communism]]<br/>:<br/>[[Criticism of democracy|Anti-democracy]]
4098,ideology,{{Nowrap|[[National conservatism]]}},{{Nowrap|[[National conservatism]]}}
4098,position,[[Right-wing politics|Right-wing]],[[Right-wing politics|Right-wing]]
6219,ideology,{{unbulletedlist|[[Conservative democracy]]|[[Islamic democracy]]}},{{unbulletedlist|[[Conservative democracy]]|[[Islamic democracy]]}}
6219,position,[[Centre-right]] to [[Right-wing politics|right-wing]],[[Centre-right]] to [[Right-wing politics|right-wing]]
5221,ideology,{{unbulletedlist|[[Sunni Islam|Sunni]] [[Islamism]]|[[Islamic democracy]]|[[Social conservatism]]|[[Economic liberalism]]|ref|{{Cite book|url=https://www.worldcat.org/oclc/836565973|title=Political Islam in Algeria|date=May 2007|first=Amel|last=Boubekeur|isbn=978-92-9079-721-0|location=Brussels|oclc=836565973|publisher=Centre for European Policy Studies|series=CEPS Working Document|volume=268}}<!--Also available at: http://aei.pitt.edu/11727/1/1502.pdf-->|</ref>}},{{unbulletedlist|[[Sunni Islam|Sunni]] [[Islamism]]|[[Islamic democracy]]|[[Social conservatism]]|[[Economic liberalism]]|ref|{{Cite book|url=https://www.worldcat.org/oclc/836565973|title=Political Islam in Algeria|date=May 2007|first=Amel|last=Boubekeur|isbn=978-92-9079-721-0|location=Brussels|oclc=836565973|publisher=Centre for European Policy Studies|series=CEPS Working Document|volume=268}}<!--Also available at: http://aei.pitt.edu/11727/1/1502.pdf-->|</ref>}}
5221,position,[[Right-wing]],[[Right-wing]]
5222,ideology,{{unbulletedlist|[[Islamism]]|[[Islamic democracy]]}},{{unbulletedlist|[[Islamism]]|[[Islamic democracy]]}}
5222,position,[[Right-wing]],[[Right-wing]]
5622,ideology,{{unbulletedlist|[[Communism]]|[[Trotskyism]]|[[Proletarian internationalism|Internationalism]]}},{{unbulletedlist|[[Communism]]|[[Trotskyism]]|[[Proletarian internationalism|Internationalism]]}}
5622,position,[[Far-left politics|Far-left]],[[Far-left politics|Far-left]]
8868,ideology,[[Liberalism]],[[Liberalism]]
4113,ideology,{{unbulletedlist|[[Populism]]|[[Economic liberalism]]|ref|{{cite report |date=24 June 2002 |title=DIMINISHING RETURNS: ALGERIA'S 2002 LEGISLATIVE ELECTIONS |url=https://www.files.ethz.ch/isn/27363/b001_algeria_elections.pdf |publisher=[[International Crisis Group]] |page=6 |access-date=5 May 2020 |via=[[ETH Zurich]] | location=[[Algiers]]/[[Brussels]] |series=ICG Middle East Briefing}}|</ref>}},{{unbulletedlist|[[Populism]]|[[Economic liberalism]]|ref|{{cite report |date=24 June 2002 |title=DIMINISHING RETURNS: ALGERIA'S 2002 LEGISLATIVE ELECTIONS |url=https://www.files.ethz.ch/isn/27363/b001_algeria_elections.pdf |publisher=[[International Crisis Group]] |page=6 |access-date=5 May 2020 |via=[[ETH Zurich]] | location=[[Algiers]]/[[Brussels]] |series=ICG Middle East Briefing}}|</ref>}}
4113,position,[[Centrism|Centre]] to [[centre-right]],[[Centrism|Centre]] to [[centre-right]]
6120,ideology,{{unbulletedlist|[[Liberalism]]|ref|{{cite news |title=3 Algerian parties call for election boycott |url=https://apnews.com/096ee1434564488b8fe31303a4107f09 |work=Associated Press |access-date=5 April 2020 |date=24 February 2014}}|</ref>|[[Social liberalism]]|[[Berberism]]|[[Algerian nationalism#Algerianism|Algerian nationalism]]|[[Secularism]]}},{{unbulletedlist|[[Liberalism]]|ref|{{cite news |title=3 Algerian parties call for election boycott |url=https://apnews.com/096ee1434564488b8fe31303a4107f09 |work=Associated Press |access-date=5 April 2020 |date=24 February 2014}}|</ref>|[[Social liberalism]]|[[Berberism]]|[[Algerian nationalism#Algerianism|Algerian nationalism]]|[[Secularism]]}}
6120,position,[[Centre politics|Centre]] to [[centre-left]],[[Centre politics|Centre]] to [[centre-left]]
8734,position,[[Big tent]],[[Big tent]]
8734,ideology,[[Algerian nationalism]],[[Algerian nationalism]]
3712,ideology,[[Economic liberalism]]<br/>[[Fiscal conservatism]],[[Economic liberalism]]<br/>[[Fiscal conservatism]]
3712,position,[[Centrism|Centre]] to [[centre-right]],[[Centrism|Centre]] to [[centre-right]]
3713,ideology,"{{Nowrap|[[Liberal conservatism]]|ref| name=""Nordsieck""|{{Cite web|url=http://parties-and-elections.eu/andorra.html|title=Andorra|last=Nordsieck|first=Wolfram|date=2019|website=Parties and Elections in Europe|access-date=9 April 2018}}|</ref>}}","{{Nowrap|[[Liberal conservatism]]|ref| name=""Nordsieck""|{{Cite web|url=http://parties-and-elections.eu/andorra.html|title=Andorra|last=Nordsieck|first=Wolfram|date=2019|website=Parties and Elections in Europe|access-date=9 April 2018}}|</ref>}}"
3713,position,[[Centre-right]],[[Centre-right]]
6433,ideology,[[Progressivism]]<br/>[[Ordino]] [[Localism (politics)|localism]],[[Progressivism]]<br/>[[Ordino]] [[Localism (politics)|localism]]
6433,position,[[Centre-left]],[[Centre-left]]
6516,ideology,[[Christian democracy]]<br>[[Conservatism]],[[Christian democracy]]<br>[[Conservatism]]
6516,position,[[Centre-right politics|Centre-right]],[[Centre-right politics|Centre-right]]
4208,ideology,[[Christian democracy]],[[Christian democracy]]
3675,ideology,[[Social democracy]],[[Social democracy]]
3675,position,[[Centre-left]],[[Centre-left]]
3674,ideology,[[Social liberalism]],[[Social liberalism]]
3674,position,[[Centrism|Centre]] to [[Centre-left politics|centre-left]],[[Centrism|Centre]] to [[Centre-left politics|centre-left]]
5875,ideology,[[Social democracy]],[[Social democracy]]
5875,position,[[Centre-left]],[[Centre-left]]
3708,ideology,[[Localism (politics)|Localism]]<br>[[Conservatism]],[[Localism (politics)|Localism]]<br>[[Conservatism]]
3708,position,[[Centre-right]],[[Centre-right]]
3673,ideology,"{{ubl|[[Conservative&nbsp;liberalism]]|[[Soft Euroscepticism]]|ref|{{Cite web|url=https://www.elperiodic.ad/noticia/49126/liberals-es-defensa-de-les-acusacions-danti-europeus|title=Liberals es defensa de les acusacions d'""anti-europeus""|website=El Periòdic d'Andorra}}|</ref>}}","{{ubl|[[Conservative&nbsp;liberalism]]|[[Soft Euroscepticism]]|ref|{{Cite web|url=https://www.elperiodic.ad/noticia/49126/liberals-es-defensa-de-les-acusacions-danti-europeus|title=Liberals es defensa de les acusacions d'""anti-europeus""|website=El Periòdic d'Andorra}}|</ref>}}"
3673,position,[[Centre-right]],[[Centre-right]]
3676,ideology,[[Eco-socialism]]<br>[[Green politics]],[[Eco-socialism]]<br>[[Green politics]]
3676,position,[[Centre-left]] to [[Left-wing politics|left-wing]],[[Centre-left]] to [[Left-wing politics|left-wing]]
3556,ideology,[[Social democracy]]<br>[[Liberal democracy]]<br>[[Social liberalism]]<br>[[Federalism]],[[Social democracy]]<br>[[Liberal democracy]]<br>[[Social liberalism]]<br>[[Federalism]]
3556,position,[[Centre-left politics|Centre-left]],[[Centre-left politics|Centre-left]]
5131,ideology,[[Civic nationalism]] <br>[[Christian democracy]] <br>[[Conservatism]],[[Civic nationalism]] <br>[[Christian democracy]] <br>[[Conservatism]]
5131,position,[[Centre-right]],[[Centre-right]]
2298,ideology,'''Since 1991:'''<br/>[[Social democracy]] <br/>'''1977–1991:'''<br/>[[Communism]]<br/>[[Marxism–Leninism]]<br/>[[Left-wing nationalism]],'''Since 1991:'''<br/>[[Social democracy]] <br/>'''1977–1991:'''<br/>[[Communism]]<br/>[[Marxism–Leninism]]<br/>[[Left-wing nationalism]]
2298,position,'''Since 1991:'''<br/>[[Centre-left politics|Centre-left]] to [[Left-wing politics|left-wing]]<br/>'''1977–1991:'''<br/>[[Far-left politics|Far-left]],'''Since 1991:'''<br/>[[Centre-left politics|Centre-left]] to [[Left-wing politics|left-wing]]<br/>'''1977–1991:'''<br/>[[Far-left politics|Far-left]]
2342,ideology,[[Federalism]]<br>[[Progressivism]],[[Federalism]]<br>[[Progressivism]]
2342,position,[[Centre-left politics|Centre-left]],[[Centre-left politics|Centre-left]]
5136,ideology,[[Liberalism]],[[Liberalism]]
2343,ideology,[[Big tent]] <br/>[[Angola]]n [[nationalism]]<br/>[[African nationalism]]<br/>'''Formerly:'''<br>[[Mao Zedong Thought|Maoism]] <br/>[[Ovimbundu]] interests,[[Big tent]] <br/>[[Angola]]n [[nationalism]]<br/>[[African nationalism]]<br/><br>[[Mao Zedong Thought|Maoism]] <br/>[[Ovimbundu]] interests
2343,position,"{{Nowrap|[[Centrism|Centre]]|ref| name=""JUSTINO""| to [[Centre-right politics|centre-right]]|ref| name=""JUSTINO""|<br/>'''Formerly:'''<br>[[Far-left politics|Far-left]],|ref| name=""JUSTINO""}} subsequently [[right-wing politics|right-wing]] to [[Centre-right politics|centre-right]] <br/>'''Formerly:'''<br>[[Far-left politics|Far-left]],","{{Nowrap|[[Centrism|Centre]]|ref| name=""JUSTINO""| to [[Centre-right politics|centre-right]]|ref| name=""JUSTINO""|<br/><br>[[Far-left politics|Far-left]],"
3871,ideology,[[Conservatism]]<br>[[Democratic liberalism]],[[Conservatism]]<br>[[Democratic liberalism]]
3871,position,[[Centre-right]],[[Centre-right]]
6432,ideology,[[Conservative liberalism]],[[Conservative liberalism]]
6432,position,[[Centrism|Centre]] to [[centre-right]],[[Centrism|Centre]] to [[centre-right]]
3870,ideology,[[Liberalism]]<br>[[Progressivism]],[[Liberalism]]<br>[[Progressivism]]
3870,position,[[Centre-left]],[[Centre-left]]
4144,ideology,[[Social democracy]]<br/>[[Labourism]],[[Social democracy]]<br/>[[Labourism]]
4144,position,[[Centre-left]],[[Centre-left]]
4152,ideology,[[Socialism]]<br>[[Pan-Africanism]],[[Socialism]]<br>[[Pan-Africanism]]
4152,position,[[Left-wing politics|Left-wing]],[[Left-wing politics|Left-wing]]
5552,ideology,Barbudan [[Nationalism]],Barbudan [[Nationalism]]
5552,position,[[Centre-left]],[[Centre-left]]
4150,ideology,[[Social liberalism]],[[Social liberalism]]
4150,position,[[Centrism|Centre]],[[Centrism|Centre]]
6112,ideology,{{Nowrap|[[Conservative liberalism]]}} <br />[[Economic liberalism]],{{Nowrap|[[Conservative liberalism]]}} <br />[[Economic liberalism]]
6112,position,[[Centre-right politics|Centre-right]],[[Centre-right politics|Centre-right]]
1215,ideology,[[Liberalism]] <br>[[Civic humanism]] <br>[[Anti-corruption]],[[Liberalism]] <br>[[Civic humanism]] <br>[[Anti-corruption]]
1215,position,[[Centrism|Centre]],[[Centrism|Centre]]
6116,ideology,[[Social democracy]]<br />[[Third Way]]<br/>[[Radicalism (historical)|Radicalism]]<br />[[Progressivism]]<br/>[[Reformism]]<br/>[[Conservative socialism]]<br/>[[Social liberalism]],[[Social democracy]]<br />[[Third Way]]<br/>[[Radicalism (historical)|Radicalism]]<br />[[Progressivism]]<br/>[[Reformism]]<br/>[[Conservative socialism]]<br/>[[Social liberalism]]
6116,position,[[Centre-left]],[[Centre-left]]
