country,name,continent,region
TCA,Turks and Caicos Islands,Americas,West Indies
TUV,Tuvalu,Oceania,Pacific
UGA,Uganda,Africa,Eastern Africa
UKR,Ukraine,Europe,Eastern Europe
ARE,United Arab Emirates,Asia,South West Asia
GBR,United Kingdom,Europe,Western Europe
USA,United States,Americas,North America
URY,Uruguay,Americas,South America
UZB,Uzbekistan,Asia,Central Asia
VUT,Vanuatu,Oceania,Pacific
VEN,Venezuela,Americas,South America
VNM,Vietnam,Asia,South East Asia
VNR,Vietnam (South),Asia,South East Asia
ESH,Western Sahara,Africa,Northern Africa
YEM,Yemen,Asia,South West Asia
YMD,Yemen (South),Asia,South West Asia
ZMB,Zambia,Africa,Southern Africa
ZZB,Zanzibar,Africa,Eastern Africa
ZWE,Zimbabwe,Africa,Southern Africa
