partyfacts_id,source,position
732,ideology,albanian nationalism
732,ideology,anti-communism
732,position,right-wing
732,position,far-right
819,ideology,national conservatism
819,position,right-wing
838,ideology,social democracy
838,ideology,pro-europeanism
838,position,centre-left
1729,ideology,social democracy
1729,ideology,pro-europeanism
1729,position,centre-left
8564,ideology,islamism
8564,ideology,islam and democracy
4111,ideology,algerian nationalism
4111,ideology,arab nationalism
4111,ideology,pan-arabism
4111,ideology,arab socialism
4111,ideology,social democracy
4111,ideology,democratic socialism
4111,ideology,anti-imperialism
4111,ideology,anti-zionism
4111,ideology,nasserism
4111,ideology,revolutionary socialism
4111,ideology,vanguardism
4111,position,centre-left
4111,position,left-wing
4114,ideology,democratic socialism
4114,ideology,social democracy
4114,ideology,secularism
4114,position,centre-left
4114,position,left-wing
6118,ideology,islamism
6118,ideology,islamic fundamentalism
6118,ideology,salafi movement
6118,ideology,jihadism
6118,ideology,arab nationalism
6118,ideology,qutbism
6118,ideology,pan-islamism
6118,ideology,anti-communism
6118,ideology,criticism of democracy
4098,ideology,national conservatism
4098,position,right-wing
6219,ideology,conservative democracy
6219,ideology,islam and democracy
6219,position,centre-right
6219,position,right-wing
5221,ideology,sunni islam
5221,ideology,islamism
5221,ideology,islam and democracy
5221,ideology,social conservatism
5221,ideology,pan-islamism
5221,ideology,economic liberalism
5221,ideology,anti-zionism
5221,position,right-wing
5222,ideology,islamism
5222,ideology,islam and democracy
5222,position,right-wing
5622,ideology,communism
5622,ideology,trotskyism
5622,ideology,proletarian internationalism
5622,position,far-left
8868,ideology,liberalism
4113,ideology,algerian nationalism
4113,ideology,populism
4113,ideology,liberal conservatism
4113,ideology,economic liberalism
4113,ideology,international crisis group
4113,position,centre-right
6120,ideology,liberalism
6120,ideology,social liberalism
6120,ideology,algerian nationalism
6120,ideology,secularism
6120,position,centre
6120,position,centre-left
8734,position,big tent
8734,ideology,algerian nationalism
3712,ideology,economic liberalism
3712,ideology,fiscal conservatism
3712,position,centre
3712,position,centre-right
3713,ideology,liberal conservatism
3713,ideology,catalan nationalism
3713,position,centre-right
6433,ideology,progressivism
6433,ideology,localism
6433,position,centre-left
6516,ideology,christian democracy
6516,ideology,conservatism
6516,position,centre-right
4208,ideology,christian democracy
3675,ideology,social democracy
3675,position,centre-left
3674,ideology,social liberalism
3674,position,centre
3674,position,centre-left
5875,ideology,social democracy
5875,position,centre-left
3708,ideology,localism
3708,ideology,conservatism
3708,position,centre-right
3673,ideology,conservative liberalism
3673,ideology,pro-europeanism
3673,ideology,europe elects
3673,position,centre-right
3676,ideology,eco-socialism
3676,ideology,green politics
3676,position,centre-left
3676,position,left-wing
5131,ideology,civic nationalism
5131,ideology,christian democracy
5131,ideology,conservatism
5131,position,centre-right
2298,ideology,nationalism
2298,ideology,palgrave macmillan
2298,ideology,oxford university press
2298,ideology,social democracy
2298,ideology,edinburgh university press
2298,ideology,democratic socialism
2298,ideology,communism
2298,ideology,marxism-leninism
2298,ideology,left-wing nationalism
2298,ideology,jacobin (magazine)
2298,position,centre-left
2298,position,left-wing
2298,position,far-left
2342,ideology,federalism
2342,ideology,progressivism
2342,position,centre-left
5136,ideology,liberalism
2343,ideology,big tent
2343,ideology,conservatism
2343,ideology,anti-communism
2343,ideology,communism
2343,ideology,maoism
2343,ideology,left-wing nationalism
2343,ideology,anti-sovietism
2343,position,centre-right
2343,position,right-wing
2343,position,far-left
6432,ideology,conservative liberalism
6432,position,centre
6432,position,centre-right
3870,ideology,progressivism
4144,ideology,economic liberalism
4144,ideology,centralisation
4144,ideology,republicanism
4144,position,centre-right
4152,ideology,socialism
4152,ideology,pan-africanism
4152,position,left-wing
5552,ideology,democratic socialism
5552,position,centre-left
5552,position,left-wing
4150,ideology,social democracy
4150,ideology,anti-corruption
4150,position,centre-left
6112,ideology,conservative liberalism
6112,ideology,economic liberalism
6112,position,centre-right
1215,ideology,liberalism
1215,ideology,classical republicanism
1215,ideology,anti-corruption
1215,ideology,developmentalism
1215,ideology,social liberalism
1215,ideology,conservatism
1215,position,centre
1215,position,centre-right
1215,position,centre-left
6116,ideology,neoliberalism
6116,ideology,conservatism
6116,ideology,radical politics
6116,ideology,republicanism
6116,ideology,progressivism
6116,position,centre-right
6116,position,right-wing
6116,position,centre
6116,position,centre-left
7049,ideology,liberalism
7049,ideology,centre-right
7049,ideology,el país
7049,ideology,the economist
7049,ideology,financial times
7049,ideology,la nación
7049,ideology,liberal conservatism
7049,ideology,bbc
7049,ideology,the wall street journal
7049,ideology,the guardian
7049,ideology,social liberalism
7049,ideology,conservative liberalism
7049,ideology,deutsche welle
7049,position,centre
7049,position,centre-right
6159,ideology,liberalism
6159,ideology,classical republicanism
6159,ideology,anti-corruption
6159,ideology,developmentalism
6159,ideology,social liberalism
6159,ideology,conservatism
6159,position,centre
6159,position,centre-right
6159,position,centre-left
2529,ideology,conservatism
2529,position,centre-right
5088,ideology,conservatism
5088,ideology,classical radicalism
5088,position,centre-right
5088,position,right-wing
8672,ideology,kirchnerism
8672,ideology,peronism
8672,position,centre-left
5188,ideology,christian democracy
5188,ideology,social conservatism
5188,position,centre
7747,ideology,federal peronism
7747,position,centre-right
6161,ideology,progressivism
6161,ideology,social democracy
6161,ideology,democratic socialism
6161,ideology,parliamentary system
6161,ideology,socialism of the 21st century
6161,ideology,left-wing nationalism
6161,position,centre-left
7975,ideology,peronism
7975,ideology,kirchnerism
7975,ideology,classical radicalism
7975,ideology,social democracy
7975,position,centre-left
6649,ideology,marxism
6649,ideology,trotskyism
6649,ideology,revolutionary socialism
6649,position,far-left
7743,ideology,peronism
7743,ideology,progressivism
7743,ideology,social democracy
7743,ideology,kirchnerism
7743,position,centre-left
8059,ideology,peronism
8059,ideology,big tent
8059,position,centre-left
2530,ideology,peronism
2530,ideology,el país
2530,ideology,the guardian
2530,ideology,left-wing nationalism
2530,ideology,social democracy
2530,ideology,kirchnerism
2530,ideology,left-wing populism
2530,ideology,the economist
2530,position,centre-left
2530,position,al jazeera english
2530,position,centre
2530,position,left-wing
2530,position,the guardian
5553,ideology,social democracy
5553,ideology,christian democracy
5553,ideology,syncretism
5553,ideology,humanism
5553,ideology,democratic socialism
5553,ideology,communism
5553,position,centre-left
6554,position,centre-left
6554,ideology,progressivism
6554,ideology,social democracy
6554,ideology,democratic socialism
6160,position,centre-left
6160,ideology,peronism
6160,ideology,la nación
6160,ideology,federal peronism
6160,ideology,political syncretism
8735,ideology,peronism
8735,ideology,regionalism
8735,position,big tent
5122,ideology,developmentalism
5122,ideology,orthodox peronism
5122,position,far-right
868,ideology,peronism
868,ideology,regionalism
868,ideology,third way
868,ideology,federal peronism
868,position,centre-right
4181,ideology,conservatism
4181,ideology,militarism
4181,ideology,orthodox peronism
4181,position,far-right
1210,ideology,trotskyism
1210,position,far-left
5192,ideology,liberalism
5192,ideology,conservatism
5192,ideology,conservative liberalism
5192,ideology,secularism
5192,ideology,positivism
5192,position,centre-right
5192,position,right-wing
5121,ideology,trotskyism
5121,position,far-left
832,ideology,communism
832,ideology,marxism-leninism
832,position,far-left
7745,ideology,communism
7745,ideology,marxism-leninism
7745,ideology,kirchnerism
7745,position,far-left
8865,ideology,social democracy
8865,ideology,kirchnerism
8865,position,centre-left
5187,ideology,conservatism
5187,position,right-wing
5085,ideology,national conservatism
5085,ideology,conservative liberalism
5085,position,right-wing
5112,ideology,liberalism
5112,position,centre-right
5112,position,right-wing
6040,ideology,federalism
6040,ideology,federal peronism
6040,position,centre-right
4180,ideology,humanist movement
4180,position,left-wing
4183,ideology,democratic socialism
4183,ideology,progressivism
4183,position,left-wing
623,ideology,peronism
623,ideology,big tent
623,position,centre-left
5193,ideology,peronism
5193,ideology,socialism
5193,ideology,syndicalism
5193,ideology,left-wing populism
5193,ideology,left-wing nationalism
5193,position,left-wing
5186,ideology,liberalism
5186,ideology,regionalism
5186,position,centre
8082,ideology,trotskyism
8082,position,far-left
1365,ideology,social democracy
1365,ideology,democratic socialism
1365,ideology,reformism
1365,ideology,progressivism
1365,ideology,marxism
1365,position,centre-left
1365,position,left-wing
6426,ideology,socialism
6426,ideology,conservatism
6426,ideology,economic liberalism
6426,position,centre-right
6648,ideology,peronism
6648,ideology,la nación
6648,ideology,kirchnerism
6648,ideology,conservatism
6648,ideology,social justice
6648,ideology,orthodox peronism
6648,position,centre
6648,position,centre-right
1790,ideology,conservative liberalism
1790,ideology,liberal conservatism
1790,position,centre-right
1790,position,right-wing
8083,ideology,progressivism
8083,position,centre-left
1116,ideology,conservative liberalism
1116,position,centre-right
5194,ideology,social democracy
5194,ideology,peronism
5194,ideology,progressivism
5194,position,centre
5194,position,centre-left
7664,ideology,peronism
7664,ideology,social democracy
7664,ideology,kirchnerism
7664,position,centre-left
7664,position,left-wing
7188,ideology,liberalism
7188,position,centre-left
1724,ideology,classical radicalism
1724,ideology,social liberalism
1724,ideology,liberalism
1724,ideology,conservative liberalism
1724,ideology,social democracy
1724,position,centre
5087,ideology,classical radicalism
5087,ideology,progressivism
5087,ideology,social democracy
5087,ideology,developmentalism
5087,position,centre-left
4182,ideology,conservatism
4182,ideology,economic liberalism
4182,position,centre-right
4182,position,right-wing
5086,ideology,federal peronism
5086,ideology,conservatism
5086,ideology,catholic social teaching
5086,position,centre-right
8736,ideology,peronism
8736,position,centre
2008,ideology,big tent
2008,position,big tent
2008,position,left-wing
2008,position,right-wing
2010,ideology,liberalism
2010,ideology,pro-europeanism
2010,ideology,western world
2011,ideology,conservatism
2011,ideology,russophilia
2009,ideology,liberalism
2009,position,centre
4205,ideology,social conservatism
4205,ideology,economic liberalism
4205,ideology,russophilia
4205,ideology,euroscepticism
4205,position,centre-right
7507,ideology,classical liberalism
7507,ideology,pro-europeanism
7507,position,centre
8012,ideology,communism
8012,ideology,marxism-leninism
8012,position,far-left
2012,ideology,conservative liberalism
2012,ideology,pro-europeanism
2012,position,centre
2012,position,centre-right
2013,ideology,national conservatism
2013,ideology,russophilia
2013,ideology,big tent
2013,position,right-wing
2018,ideology,communism
2018,ideology,marxism-leninism
2018,ideology,russophilia
2018,ideology,euroscepticism
2018,ideology,soviet patriotism
2018,position,left-wing
2018,position,far-left
4539,ideology,social liberalism
4539,ideology,pro-europeanism
4539,position,centre
2020,ideology,armenian nationalism
2020,ideology,radio free europe/radio liberty
2020,ideology,international crisis group
2020,ideology,social market economy
2020,ideology,populism
2020,ideology,russophilia
2020,ideology,democratic socialism
2020,ideology,revolutionary socialism
2020,ideology,anti-sovietism
2020,position,centre-left
2020,position,left-wing
4365,ideology,liberal democracy
4365,ideology,civic nationalism
4365,ideology,anti-communism
4365,position,centre
4365,position,centre-right
3783,ideology,national liberalism
3783,ideology,liberalism
3783,ideology,armenian nationalism
3783,ideology,pro-europeanism
3783,ideology,western world
3783,position,centre
3783,position,centre-right
7508,ideology,liberal democracy
7508,ideology,neoliberalism
7508,ideology,reformism
7508,position,centre
7754,ideology,liberalism
7754,ideology,reformism
7754,ideology,populism
7754,ideology,pro-europeanism
7754,position,centre
2016,ideology,social democracy
2016,ideology,pro-europeanism
2016,position,centre-left
7800,ideology,liberalism
7800,position,centre
2007,ideology,liberal conservatism
2007,ideology,christian democracy
2007,ideology,pro-europeanism
2007,position,centre-right
8804,ideology,liberalism
8367,ideology,pro-europeanism
8367,ideology,nato
5516,ideology,regionalism
5516,ideology,conservatism
5516,ideology,christian democracy
5516,position,centre-right
5519,position,centre-right
5518,ideology,social democracy
5518,ideology,separatism
5518,position,centre-left
5517,ideology,progressivism
5517,ideology,green politics
1743,ideology,agrarianism
1743,ideology,australian national university
1743,ideology,anu press
1743,ideology,conservatism
1743,ideology,conservatism in australia
1743,position,centre-right
1743,position,right-wing
777,ideology,agrarianism
777,ideology,australian national university
777,ideology,anu press
777,ideology,conservatism
777,ideology,conservatism in australia
777,position,centre-right
777,position,right-wing
990,ideology,liberalism
990,ideology,liberalism in australia
990,ideology,oxford university press
990,ideology,routledge
990,ideology,cambridge university press
990,ideology,social liberalism
990,ideology,springer nature
990,ideology,environmentalism
990,ideology,abc news (australia)
990,position,centre
990,position,cambridge university press
990,position,the sydney morning herald
990,position,centre-left
990,position,encyclopædia britannica
990,position,"encyclopædia britannica, inc."
1209,ideology,green politics
1209,ideology,progressivism
1209,ideology,left-wing populism
1209,position,left-wing
424,ideology,social democracy
424,position,centre-left
3772,ideology,anti-communism
3772,ideology,social conservatism
3772,ideology,social democracy
3772,ideology,distributism
6918,ideology,social democracy
6918,position,centre-left
1572,ideology,anti-communism
6915,ideology,social democracy
6915,ideology,democratic socialism
6915,position,centre-left
6917,ideology,social democracy
6917,position,centre-left
1756,ideology,social liberalism
1756,position,centre
323,ideology,christian democracy
323,ideology,conservatism
323,ideology,conservatism in australia
323,ideology,social conservatism
323,ideology,christian right
323,position,right-wing
451,ideology,conservatism
451,ideology,conservatism in australia
451,ideology,liberalism
451,ideology,liberalism in australia
451,ideology,liberal conservatism
451,ideology,agrarianism
451,position,centre-right
451,position,right-wing
1999,ideology,liberalism
1999,ideology,liberalism in australia
1999,ideology,cambridge university press
1999,ideology,conservatism
1999,ideology,conservatism in australia
1999,position,centre-right
143,ideology,conservatism
143,ideology,conservatism in australia
143,ideology,abc news (australia)
143,ideology,populism
143,position,centre-right
143,position,centre
1263,ideology,social conservatism
1263,ideology,familialism
1263,position,right-wing
663,ideology,federalism
663,ideology,liberalism in australia
663,ideology,colonial liberalism
663,ideology,laissez-faire
663,ideology,conservatism
663,ideology,conservatism in australia
663,ideology,cambridge university press
663,ideology,classical liberalism
663,ideology,criticism of socialism
663,position,centre-right
663,position,right-wing
1997,ideology,populism
1997,ideology,oxford university press
1997,ideology,agrarian socialism
1997,ideology,cambridge university press
1997,ideology,social conservatism
1997,ideology,economic nationalism
1997,ideology,anu press
248,ideology,keynesian economics
248,ideology,anti-communism
248,ideology,populism
248,ideology,labour movement
248,ideology,australian nationalism
248,ideology,social democracy
1642,ideology,liberalism
1642,ideology,liberalism in australia
1642,ideology,conservatism
1642,ideology,conservatism in australia
1642,ideology,liberal conservatism
1642,position,centre-right
1642,position,right-wing
1642,position,the australian
9149,ideology,right-libertarianism
9149,ideology,jacobin (magazine)
9149,ideology,conservatism in australia
9149,ideology,classical liberalism
9149,position,right-wing
285,ideology,conservatism
285,ideology,conservatism in australia
285,ideology,liberal conservatism
285,ideology,agrarianism
285,ideology,christian right
285,position,centre-right
285,position,right-wing
486,ideology,conservatism
486,ideology,conservatism in australia
486,ideology,liberalism
486,ideology,liberalism in australia
486,ideology,liberal conservatism
486,position,centre-right
486,position,right-wing
338,ideology,conservatism in australia
338,ideology,monarchy of australia
338,ideology,protectionism
338,ideology,australian nationalism
338,position,centre-right
338,position,right-wing
1736,ideology,australian nationalism
1736,ideology,social democracy
1736,position,centre-left
5453,ideology,social liberalism
5453,ideology,populism
5453,ideology,regionalism
5453,position,centre
1162,ideology,hansonism
1162,ideology,australian nationalism
1162,ideology,springer science+business media
1162,ideology,routledge
1162,ideology,national conservatism
1162,ideology,right-wing populism
1162,ideology,oxford university press
1162,position,right-wing
1162,position,far-right
1996,ideology,conservatism
1996,ideology,conservatism in australia
1996,ideology,australian nationalism
1996,ideology,right-wing populism
1996,position,right-wing
1996,position,bbc
1996,position,reuters
1996,position,far-right
1996,position,yahoo news
7012,ideology,hansonism
7012,ideology,australian nationalism
7012,ideology,social conservatism
7012,position,right-wing
454,ideology,protectionism
454,ideology,liberalism
454,ideology,colonial liberalism
454,ideology,cambridge university press
454,ideology,australian national university
454,ideology,constitutionalism
454,ideology,reformism
454,ideology,federalism
454,ideology,liberalism in australia
454,ideology,social liberalism
454,ideology,conservatism in australia
454,position,centre
2104,ideology,social democracy
2104,ideology,democratic socialism
2104,position,centre-left
566,ideology,liberalism in australia
566,ideology,conservatism in australia
566,ideology,monarchy of australia
566,ideology,anti-communism
566,ideology,communism
566,ideology,economic liberalism
566,position,centre-right
566,position,right-wing
566,position,australian national university
1411,ideology,conservatism
1411,ideology,conservatism in australia
1411,ideology,agrarianism
1411,position,centre-right
599,ideology,national conservatism
599,ideology,national liberalism
599,ideology,right-wing populism
599,ideology,euroscepticism
599,position,right-wing
599,position,far-right
439,ideology,regionalism
439,ideology,decentralization
439,ideology,anti-corruption
7711,ideology,social democracy
7711,ideology,left-wing populism
7711,ideology,pro-europeanism
7711,position,centre-left
3678,ideology,social conservatism
3678,ideology,catholic church and politics
3678,ideology,austrian nationalism
3678,ideology,antisemitism
3678,ideology,right-wing populism
3678,ideology,christian socialism
3678,ideology,corporatism
3678,ideology,monarchism
3678,position,right-wing
6170,ideology,agrarianism
6170,ideology,german nationalism in austria
6169,ideology,german nationalism in austria
1935,ideology,german nationalism in austria
1659,ideology,green politics
1659,ideology,ecofeminism
1659,ideology,progressivism
1659,ideology,the new york times
1659,ideology,pro-europeanism
1659,position,centre-left
1659,position,left-wing
2991,ideology,conservatism
2991,ideology,euroscepticism
2991,position,right-wing
8223,ideology,christian democracy
8223,ideology,protectionism
8223,ideology,national conservatism
8223,ideology,federalism
463,ideology,national conservatism
463,ideology,right-wing populism
463,ideology,euroscepticism
463,ideology,national liberalism
463,ideology,german nationalism in austria
463,position,far-right
1917,ideology,german nationalism in austria
1917,ideology,pan-germanism
1917,ideology,antisemitism
1917,position,right-wing
996,ideology,communism
996,ideology,socialism
996,ideology,marxism
996,position,far-left
1916,ideology,agrarianism
1916,ideology,german nationalism in austria
605,ideology,liberalism in austria
605,position,centre
1708,ideology,populism
1708,ideology,euroscepticism
1708,ideology,anti-globalization movement
6137,ideology,green politics
6137,ideology,left-wing populism
6137,position,centre-left
6137,position,left-wing
6138,ideology,anti-establishment
9022,ideology,protests against responses to the covid-19 pandemic
9022,ideology,vaccine hesitancy
7379,ideology,national conservatism
7379,ideology,national liberalism
7379,position,right-wing
7378,ideology,national liberalism
7378,ideology,secularism
7378,position,centre
7378,position,centre-left
1936,ideology,nazism
1936,position,far-right
1970,ideology,liberalism
1970,ideology,liberalism in austria
1970,position,centre
1329,ideology,christian democracy
1329,ideology,liberal conservatism
1329,ideology,pro-europeanism
1329,position,centre-right
7712,ideology,agrarianism
7712,ideology,conservatism
7712,position,centre-right
1384,ideology,social democracy
1384,position,centre-left
9023,ideology,right-wing populism
9023,ideology,opposition to immigration
9023,ideology,euroscepticism
9023,position,far-right
9023,position,deutsche welle
1971,ideology,economic liberalism
1971,ideology,right-wing populism
1971,ideology,populism
1971,ideology,euroscepticism
1971,position,centre-right
1971,position,right-wing
1971,position,forbes
6044,ideology,austrian nationalism
6044,ideology,corporate statism
6044,ideology,authoritarian conservatism
6044,ideology,clerical fascism
6044,position,right-wing
6044,position,far-right
1710,ideology,german nationalism in austria
1710,ideology,national liberalism
1710,position,right-wing
8222,ideology,liberalism
8222,ideology,free trade
8222,ideology,national liberalism
1993,ideology,communism
1993,ideology,marxism-leninism
1993,position,far-left
6223,ideology,communism
6223,ideology,marxism-leninism
5877,ideology,civic nationalism
5877,ideology,economic liberalism
5877,ideology,social justice
5877,ideology,progressivism
5877,position,centre-right
1992,ideology,anti-communism
1992,ideology,conservatism
1992,ideology,anti-corruption
1992,ideology,azerbaijani nationalism
1992,ideology,pro-europeanism
1992,position,centre-right
3628,ideology,liberalism
3628,ideology,civic nationalism
3628,ideology,pan-turkism
3628,ideology,pan-islamism
3628,ideology,anti-communism
3628,position,centre
1995,ideology,conservatism
1995,ideology,statism
1995,ideology,social market economy
1995,ideology,secularism
1995,ideology,azerbaijani nationalism
1995,ideology,pan-turkism
1995,ideology,populism
7050,ideology,liberalism
7050,ideology,civic nationalism
7050,ideology,pan-turkism
7050,ideology,pan-islamism
7050,ideology,anti-communism
7050,position,centre
3653,ideology,economic liberalism
3653,ideology,fiscal conservatism
3653,ideology,populism
3652,ideology,conservatism
3652,position,centre-right
3284,ideology,social liberalism
3284,ideology,progressivism
3284,ideology,populism
3284,position,centre-left
5883,ideology,salafi movement
5883,ideology,islamism
5894,ideology,islamism
5914,ideology,communism
5914,ideology,market socialism
5914,ideology,arab nationalism
5914,ideology,anti-globalization movement
5914,ideology,anti-imperialism
5914,position,far-left
5806,ideology,islam and democracy
5916,ideology,arab nationalism
5916,ideology,left-wing nationalism
5916,ideology,socialism
5916,ideology,the daily telegraph
5916,ideology,secularism
5916,position,left-wing
2340,ideology,islamism
2340,ideology,social conservatism
2340,position,right-wing
3782,ideology,liberalism
3782,ideology,conservatism
3782,ideology,conservatism in bangladesh
3782,ideology,economic liberalism
3782,position,centre
3782,position,centre-right
5790,ideology,mujibism
5790,ideology,democratic socialism
6182,ideology,muslim nationalism in south asia
6182,position,right-wing
6182,position,far-right
3781,ideology,islamic socialism
3781,ideology,anti-imperialism
3781,ideology,anti-sovietism
3781,position,left-wing
8680,ideology,communism
8680,ideology,marxism-leninism
8680,position,far-left
7517,ideology,bengali nationalism
7517,ideology,secularism
7759,ideology,secularism
7759,ideology,socialism
7759,ideology,mujibism
7759,ideology,authoritarianism
7759,ideology,conservatism
7759,ideology,conservatism in bangladesh
7759,position,big tent
6300,ideology,islamism
6300,ideology,islamic fundamentalism
6300,position,far-right
2341,ideology,conservatism
2341,ideology,conservatism in bangladesh
2341,ideology,the diplomat (magazine)
2341,ideology,bengali nationalism
2341,position,centre-right
3777,ideology,democratic socialism
3777,ideology,vanguardism
3777,ideology,revolutionary socialism
3777,ideology,scientific socialism
3777,ideology,left-wing nationalism
3777,position,left-wing
8568,ideology,nationalism
8568,ideology,agrarianism
8568,ideology,feudalism
8568,ideology,egalitarianism
8568,ideology,islam and democracy
8568,ideology,progressivism
8568,ideology,populism
8568,position,centre-right
8569,ideology,conservatism
8569,ideology,conservatism in pakistan
8569,ideology,pakistani nationalism
8569,ideology,presidential system
8569,ideology,parliamentary system
7519,ideology,communism
7519,ideology,marxism-leninism
7519,ideology,anti-revisionism (marxism-leninism)
7519,position,far-left
3694,ideology,social democracy
3694,position,centre-left
3686,position,centre-left
3686,ideology,social democracy
3686,ideology,republicanism
2033,ideology,liberal conservatism
2033,ideology,economic liberalism
2033,ideology,pro-europeanism
2033,position,centre-right
2037,ideology,agrarian socialism
2037,ideology,alexander lukashenko
2037,position,left-wing
2035,ideology,social democracy
2035,ideology,liberal democracy
2035,ideology,pro-europeanism
2035,position,centre-left
2036,ideology,socialism
2036,ideology,alexander lukashenko
2036,ideology,socialist patriotism
2036,position,left-wing
7406,ideology,social democracy
7406,ideology,sustainable development
7406,ideology,non-interventionism
7406,position,centre-left
7418,ideology,communism
7418,ideology,marxism-leninism
7418,ideology,soviet patriotism
7418,position,far-left
8376,ideology,communism
8376,ideology,marxism-leninism
8376,position,far-left
3646,ideology,right-wing populism
3646,ideology,euroscepticism
3646,ideology,alexander lukashenko
3646,position,right-wing
2030,ideology,revolutionary nationalism
2030,ideology,left-wing nationalism
2030,ideology,socialism
2030,ideology,alexander lukashenko
2030,position,left-wing
3275,ideology,christian democracy
3275,ideology,center for strategic and international studies
3275,ideology,liberal conservatism
3275,ideology,pro-europeanism
3275,ideology,anti-communism
3275,position,centre-right
3275,position,al jazeera english
3275,position,right-wing
3275,position,the globe pequot publishing group
7407,ideology,democratic socialism
7407,ideology,social democracy
7407,ideology,alexander lukashenko
7407,position,centre-left
528,ideology,green politics
528,ideology,pacifism
528,ideology,progressivism
528,position,centre-left
480,ideology,social democracy
480,ideology,democratic socialism
480,position,centre-left
2289,ideology,social democracy
2289,ideology,democratic socialism
2289,position,centre-left
2289,position,left-wing
622,ideology,christian democracy
622,ideology,social conservatism
622,position,centre
622,position,palgrave macmillan
622,position,routledge
622,position,ashgate publishing
622,position,centre-right
622,position,transfer (journal)
604,ideology,christian democracy
604,ideology,social conservatism
604,position,centre
604,position,palgrave macmillan
604,position,routledge
604,position,ashgate publishing
604,position,centre-right
604,position,transfer (journal)
1915,ideology,christian democracy
1915,ideology,populism
1915,ideology,flemish movement
1915,position,left-wing
6688,ideology,christian democracy
6688,position,centre
6688,position,centre-right
6688,position,europe elects
1563,ideology,green politics
1563,position,centre-left
698,ideology,regionalism
698,ideology,liberalism
698,ideology,liberalism in belgium
698,ideology,social liberalism
698,position,centre
698,position,centre-right
